0	0.9	10	20	0.981
0	0.9	20	25	0.980
0	0.9	25	30	0.991
0	0.9	30	35	0.989
0	0.9	35	40	0.990
0	0.9	40	50	0.989
0	0.9	50	60	0.990
0	0.9	60	90	0.990
0	0.9	90	140	1.000
0.	0.9	140	500	0.985
0.9	1.2	10	20	0.937
0.9	1.2	20	25	0.996
0.9	1.2	25	30	0.992
0.9	1.2	30	35	0.990
0.9	1.2	35	40	0.991
0.9	1.2	40	50	0.987
0.9	1.2	50	60	0.990
0.9	1.2	60	90	0.985
0.9	1.2	90	140	1.000
0.9	1.2	140	500	0.923
1.2	2.1	10	20	1.003
1.2	2.1	20	25	0.999
1.2	2.1	25	30	0.997
1.2	2.1	30	35	0.998
1.2	2.1	35	40	0.995
1.2	2.1	40	50	0.996
1.2	2.1	50	60	0.998
1.2	2.1	60	90	0.997
1.2	2.1	90	140	1.033
1.2	2.1	140	500	1.054
2.1	2.4	20	500	0.994
