0	0.9	10	20	0.988
0	0.9	20	25	0.992
0	0.9	25	30	0.994
0	0.9	30	35	0.995
0	0.9	35	40	0.995
0	0.9	40	50	0.993
0	0.9	50	60	0.991
0	0.9	60	90	0.991
0	0.9	90	140	1.000
0.	0.9	140	500	1.005
0.9	1.2	10	20	0.990
0.9	1.2	20	25	0.991
0.9	1.2	25	30	0.993
0.9	1.2	30	35	0.990
0.9	1.2	35	40	0.990
0.9	1.2	40	50	0.990
0.9	1.2	50	60	0.990
0.9	1.2	60	90	0.985
0.9	1.2	90	140	1.019
0.9	1.2	140	500	1.036
1.2	2.1	10	20	1.004
1.2	2.1	20	25	1.001
1.2	2.1	25	30	1.000
1.2	2.1	30	35	0.999
1.2	2.1	35	40	0.997
1.2	2.1	40	50	0.998
1.2	2.1	50	60	0.997
1.2	2.1	60	90	0.997
1.2	2.1	90	140	1.012
1.2	2.1	140	500	1.044
2.1	2.4	20	500	0.994
