 0      0.9    10      20    0.94705
 0      0.9    20      25    0.974978
 0      0.9    25      30    0.997129
 0      0.9    30      35    0.993863
 0      0.9    35      40    0.993442
 0      0.9    40      50    0.994101
 0      0.9    50      60    0.995544
 0      0.9    60      90    0.999036
 0      0.9    90      140   1.00104
 0      0.9    140     500   1.0003
 0      0.9    140     500   1.01977
 0.9    1.2    10      20    0.951836
 0.9    1.2    20      25    0.988368
 0.9    1.2    25      30    1.00083
 0.9    1.2    30      35    0.998546
 0.9    1.2    35      40    0.99914
 0.9    1.2    40      50    0.998176
 0.9    1.2    50      60    0.998696
 0.9    1.2    60      90    0.999132
 0.9    1.2    90      140   0.999559
 0.9    1.2    140     500   0.996767
 0.9    1.2    140     500   1.00784
 1.2    2.1    10      20    0.980045
 1.2    2.1    20      25    0.997342
 1.2    2.1    25      30    1.00784
 1.2    2.1    30      35    1.00685
 1.2    2.1    35      40    1.0037
 1.2    2.1    40      50    1.00209
 1.2    2.1    50      60    1.00125
 1.2    2.1    60      90    1.00065
 1.2    2.1    90      140   0.999878
 1.2    2.1    140     500   0.99989
 1.2    2.1    140     500   1.01392
 2.1    2.4    20      500   1.025
